adlist_id,user_fingerprint,key,count,rating
47847639,3618f309-2641-4646-ae4f-c3a7443df631,1,1,2.5
47849107,e89cff03-6753-4cf5-8a1f-3dbcbee4c791,1,2,2.5
47951776,926da28c-000f-4676-a2ac-a24c348c0827,1,2,2.5
47996575,32593e71-f453-40bb-89eb-943b0bcd5dee,1,1,2.5
48005936,425a2c49-db51-4375-ba74-6efa17754955,1,1,2.5
48037796,11bd997d-3fbc-4171-9620-851df209e347,1,2,2.5
48046646,e89cff03-6753-4cf5-8a1f-3dbcbee4c791,1,1,2.5
48096298,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,9,5
48222236,a189cd10-865d-4940-9315-fae870dea434,1,1,2.5
48278143,7a1a9772-f52f-4eb4-983e-7febf40f026d,1,1,2.5
48327613,04fec418-63c0-463c-95b0-f96087efb92d,1,1,2.5
